order_id,customer_id,order_date,status,payment_method,shipping_city,shipping_state,total_amount
13881,1443,02/22/2025,ENVIADO,pix,Sales dos Dourados,PR,
6999,528,2026-04-16T08:31:51,cancelled,pix,Rios do Campo,SP,15360.49
7041,2659,2026-02-27T08:41:03,Pendente,cartao credito,Costela,AM,"10638,76"
14012,63,23/06/2025,delivered,CARTAO_CREDITO,da Rosa,SP,7854.37
4742,1501,17/04/2025 09:17,Cancelado,boleto,Macedo de Alves,RJ,"R$ 3.653,52"
1268,2499,05/12/2024 05:32,ENVIADO,boleto,Leão Verde,PE,1103.04
7282,874,2025-06-29T11:20:31,pago,boleto,da Mota de GoiÃ¡s,MG,3441.03
4952,2392,2025-01-23,paid,cartao_credito,Montenegro do Sul,GO,"R$ 18.286,75"
9739,2923,09/05/2026,delivered,pix,Fernandes,SC,"R$ 13.187,22"
4554,1750,2024-07-20,ENTREGUE,cartao_credito,da Mota de Minas,MG,6962.68
1613,1672,16-01-2026,ENTREGUE,pix,Monteiro,DF,4666.98
10796,2672,08/03/2025,ENTREGUE,,Alves das Flores,CE,"R$ 34.165,91"
13791,2011,2025-08-01T09:12:43,shipped,boleto,Peixoto do Amparo,AM,"7400,07"
11355,1619,2026-01-09T01:16:45,enviado,Pix,Pinto Paulista,PE,28391.3
6873,1277,01/02/2026,PAGO,cartao credito,Ramos Verde,MG,"R$ 33.875,91"
11892,2762,2025-07-09,CANCELADO,cartao_credito,Nascimento Verde,MG,
8021,278,26/08/2025 02:18,Pendente,paypal,Cassiano do Norte,SP,"R$ 17.207,99"
10172,2309,03/13/2026,Pendente,,Marques,BA,17232.69
9995,286,2025/03/25,pendente,Pix,Macedo,GO,2222.9
9741,1950,,Enviado,cartao_credito,Fogaça,CE,"R$ 13.061,78"
4578,4,05-11-2024,Cancelado,cartao_credito,Teixeira dos Dourados,RS,15399.85
3352,743,2026-02-12T20:27:12,cancelado,CARTAO_CREDITO,Porto de Moreira,MG,12595.58
3451,1705,,entregue,pix,Fernandes de Goiás,DF,"R$ 21.046,85"
11347,2923,28/02/2025,shipped,CARTAO_CREDITO,Cardoso Grande,MG,25998.12
2738,1796,06/18/2025,entregue ,cartao credito,Teixeira,PE,8215.02
11631,288,03/07/2025,PAGO,cartao_credito,Duarte da Mata,SC,"R$ 8.274,13"
11271,1262,21-02-2025,PAGO,boleto,Vargas,GO,"R$ 5.966,18"
4522,2185,24-10-2024,reembolsado,cartao_credito,Teixeira de Goiás,SC,11214.10
12266,2815,15/11/2025,PAGO,CARTAO_CREDITO,Vargas do Sul,SC,"R$ 9.580,92"
7763,1608,15/11/2024,Enviado,CARTAO_CREDITO,Jesus,SP,3666.59
4017,2138,2026-07-03T16:23:02,Cancelado,boleto,Moura das Pedras,PE,2049.09
11206,719,2026/03/17,Enviado,,Pinto do Oeste,AM,"5966,18"
594,2455,2025/06/01,ENTREGUE,boleto,Vieira,MG,
3995,970,2024/11/10,ENTREGUE,boleto,da Luz,PE,
10285,90,09/21/2025,entregue ,cartao_credito,Dias de Borges,BA,"R$ 1.050,53"
2357,592,03/09/2025 13:08,enviado,cartao_credito,Almeida,SP,2728.92
1855,2371,02/09/2024,ENTREGUE,pix,Fonseca do Norte,RS,16157.14
14574,839,2026-07-01T21:47:54,delivered,boleto,Carvalho,AM,13081.14
1743,2724,12/14/2025,delivered,boleto,Moraes de Dias,MG,5120.33
12809,1250,18/12/2024 06:16,delivered,cartao_credito,Oliveira,PR,16038.10
3010,1927,2026-07-01T23:21:23,Entregue,CARTAO_CREDITO,Porto,RJ,"2054,49"
11890,3188,17/02/2025 18:49,entregue,cartao credito,Lima,CE,"13856,07"
14093,1037,02/27/2026,pending,boleto,Almeida das Flores,SC,"R$ 12.610,38"
10143,167,05/11/2024,ENTREGUE,CARTAO_CREDITO,Moreira,MG,4988.66
11570,911,02/26/2025,ENTREGUE,boleto,Fernandes da Mata,DF,10569.33
3523,287,01/07/2025,delivered,Pix,da Conceição do Galho,SP,6771.43
10801,1862,04/09/2024 15:23,delivered,,Pinto do Galho,SP,
5427,1273,2024/10/23,Pago,paypal,Nogueira de Minas,SP,14498.56
7993,862,12/09/2025,ENTREGUE,CARTAO_CREDITO,da Costa,GO,4658.23
11408,317,0000-00-00,Cancelado,pix,Martins de da Rocha,PE,
7127,113,07/01/2026,cancelled,,Rezende,PE,"R$ 8.407,85"
5038,2455,07/01/2025 10:23,ENTREGUE,,Costa de GoiÃ¡s,DF,"R$ 9.165,25"
13461,2995,2025/03/23,Entregue,cartao credito,Moreira de Barbosa,DF,
3196,1060,03/02/2026,REEMBOLSADO,cartao credito,da Mata do Sul,AM,6347.32
8932,1662,05/14/2026,ENTREGUE,paypal,Abreu do Sul,PR,"R$ 19.390,33"
14939,2675,20/07/2024,Entregue,cartao_credito,Monteiro do Norte,BA,888.09
12093,517,2025-10-23,shipped,cartao credito,Lima,SP,14938.67
1587,1274,2024-12-25,delivered,Pix,Pacheco do Norte,MG,15309.32
1145,1977,27/03/2025 04:43,entregue,boleto,Macedo de Gomes,SP,9822.77
12532,950,21/01/2025,ENVIADO,boleto,Costa,SC,
4718,2151,13-11-2024,cancelled,,da Cruz,AM,11487.43
13407,744,2025/11/04,PENDENTE,,Lopes,BA,1241.07
1720,2314,03-04-2025,entregue ,cartao_credito,Oliveira,GO,"R$ 10.942,77"
818,2719,03/11/2024 03:19,entregue ,,Silva,SC,"R$ 6.618,66"
52,2471,2025-01-25,Entregue,Pix,Gomes de Goiás,CE,"17470,65"
2679,2898,2025/01/19,Enviado,paypal,Cavalcante de Moraes,AM,289.88
4079,3308,2025-07-08,ENTREGUE,Pix,Vargas,DF,9110.22
9635,1950,16-10-2024,PENDENTE,pix,Lopes,PR,"R$ 1.644,32"
13708,682,14-03-2026,pago,paypal,Fonseca,RS,23434.66
2071,2553,12/03/2025,Pago,,Siqueira,CE,"R$ 3.266,17"
7509,2685,2024-07-15T19:59:05,shipped,cartao_credito,Moraes da Prata,RS,1761.70
14883,1109,30/10/2025,delivered,cartao credito,Porto,CE,"8492,46"
10307,3444,14/04/2026,Pago,paypal,da Mata da Prata,CE,14386.47
13059,132,29/07/2024,REEMBOLSADO,,Teixeira,RS,4754.9
11014,1119,2026-04-04,delivered,Pix,Câmara,CE,8897.29
1919,1182,20/05/2025,entregue,cartao credito,Casa Grande,RS,"11686,2"
8267,763,02/12/2025,Entregue,CARTAO_CREDITO,Albuquerque de Moreira,PE,4683.61
2975,1221,2025/07/20,Pago,boleto,da Luz,AM,9196.62
12029,1355,27/08/2024 19:59,pendente,pix,Lopes,AM,"R$ 7.226,89"
12334,2097,2026-05-31,delivered,Pix,Cavalcante de Souza,RS,34416.88
1668,991,28/12/2024 21:38,Pago,,Gomes de Goiás,RJ,1207.2
2536,1152,,paid,CARTAO_CREDITO,Montenegro da Prata,CE,
14777,2547,29/09/2025,Enviado,boleto,CÃ¢mara,SC,"R$ 9.219,97"
8751,3386,08/05/2026,pending,boleto,Costa,BA,"R$ 932,89"
104,457,2025-07-06T23:26:11,cancelado,cartao credito,Pereira,DF,
10742,1459,02-04-2025,PENDENTE,pix,Lima,DF,"R$ 7.475,74"
1437,526,2024-10-16T19:05:02,canceled,cartao credito,Barros,RS,4098.18
10296,3344,07-12-2025,cancelled,cartao credito,Caldeira do Sul,GO,"4621,66"
4982,2626,03/20/2026,CANCELADO,Pix,Fonseca,MG,5281.32
6226,1867,2026/05/03,entregue ,cartao credito,Aragão do Sul,SC,"R$ 6.702,61"
3772,1655,18/10/2025 12:17,delivered,cartao credito,Camargo,RJ,"R$ 7.810,62"
14948,2770,13-10-2024,enviado,Pix,Oliveira da Prata,PE,"6480,63"
4540,15,01/18/2026,enviado,cartao credito,Dias de Goiás,DF,6342.92
5376,1071,2024-12-30,pending,cartao credito,da Luz do Norte,SP,"R$ 29.800,69"
2725,3413,03/20/2025,entregue ,CARTAO_CREDITO,Viana,PR,"R$ 18.913,96"
4818,1856,18/10/2024 14:50,paid,cartao credito,Rocha da Praia,RS,"8496,28"
6843,2788,2024-09-28T08:41:43,delivered,cartao_credito,Cavalcante,DF,"R$ 4.193,90"
250,724,10/10/2024 00:00,entregue ,cartao credito,Nascimento de Porto,PR,7239.29
8169,1299,2026/01/10,Entregue,paypal,Gomes de da Paz,GO,704.54
4089,2925,2025/07/12,paid,cartao credito,da Cruz de Melo,RS,3559.79
4487,2063,12/27/2025,ENTREGUE,paypal,Siqueira do Campo,AM,
1530,1802,18/03/2026,ENTREGUE,paypal,Nogueira de Minas,PR,5684.7
1787,1395,18/12/2024,PENDENTE,,Almeida do Amparo,BA,"R$ 11.143,90"
220,2808,30-05-2026,PAGO,,Novais,MG,"3755,63"
8323,2918,2024/07/19,CANCELADO,boleto,Silveira,RJ,10067.58
4945,2947,0000-00-00,ENTREGUE,Pix,Ramos,SP,"16045,07"
11590,463,11/22/2024,cancelado,pix,Moura do Oeste,RS,
2743,2531,08/06/2024,cancelado,CARTAO_CREDITO,Pires Verde,DF,1050.53
3067,2136,30/09/2024,delivered,cartao credito,Montenegro,PR,3287.72
6625,1432,2025/12/21,Enviado,CARTAO_CREDITO,Gonçalves,GO,"7512,33"
8199,372,16-04-2025,entregue ,paypal,LeÃ£o de Correia,PE,9827.6
2024,1336,13-08-2024,entregue,,Porto das Flores,SP,2408.77
3890,2951,14-06-2026,entregue,cartao_credito,Gomes de Aparecida,MG,6518.61
7022,1695,05-11-2025,pending,cartao credito,Camargo da Prata,PE,"6227,18"
8911,1808,18/06/2026 08:50,Cancelado,,Mendes,GO,"9928,82"
14370,130,2024/07/28,entregue,Pix,Camargo,DF,7651.28
12897,2777,12-11-2024,refunded,paypal,Camargo Grande,BA,"4235,15"
265,1916,2025-07-12T17:37:26,shipped,paypal,Fernandes dos Dourados,SP,2959.72
13748,1185,2024-10-10T10:56:05,enviado,pix,Lopes de Mendes,DF,"R$ 3.822,68"
2586,1435,2025/02/03,ENVIADO,CARTAO_CREDITO,Lima da Mata,GO,"R$ 29.427,40"
4899,319,2025-06-10T13:37:44,paid,boleto,Ribeiro Alegre,PE,"6201,6"
7381,2939,2024/11/11,Enviado,paypal,Costa de Moreira,RJ,"R$ 1.740,61"
10928,2344,2026-02-10,ENTREGUE,cartao_credito,Lima do Norte,CE,"10594,67"
13104,2270,22/10/2025 17:37,Cancelado,CARTAO_CREDITO,Castro,RS,"R$ 10.182,45"
14919,2493,2025-01-25T21:17:57,enviado,cartao credito,Almeida da Praia,SC,5230.75
13415,1742,2025-06-05T07:42:31,Cancelado,boleto,Marques da Praia,MG,"9038,06"
8710,833,30/03/2026,enviado,,da Cunha de GoiÃ¡s,RS,3161.29
13016,2174,2025-11-06T05:33:21,PENDENTE,,Pires,SC,6120.0
11372,1344,06/04/2025,delivered,,Moreira,SP,14080.87
10914,2127,17/12/2024,Enviado,cartao credito,Rezende das Flores,RJ,24484.92
11879,194,22-05-2026,cancelled,Pix,Nunes,SP,"R$ 704,54"
1688,2818,2025-04-30,Entregue,paypal,Guerra,PR,"R$ 18.638,58"
10014,2483,27/03/2026,Pendente,Pix,Castro dos Dourados,SC,26105.43
3809,1549,,pago,cartao credito,Caldeira de Nogueira,PE,9147.03
5934,2929,19/02/2026,ENTREGUE,paypal,Leão,PE,11475.29
8252,2480,01/04/2026 12:52,ENTREGUE,paypal,Barros,BA,21453.12
5471,3394,0000-00-00,CANCELADO,boleto,Novaes,RS,10933.44
3586,1226,2025/11/28,Enviado,Pix,Abreu,PR,6005.80
6164,10,2025/04/12,Cancelado,cartao_credito,da Costa,BA,"4288,59"
3928,533,29/05/2026 14:38,Entregue,cartao credito,Macedo da Praia,CE,154.06
809,2894,19/11/2024,ENTREGUE,cartao credito,Lima das Flores,MG,16463.35
13437,701,01/23/2025,REEMBOLSADO,paypal,Campos,BA,"5684,6"
3774,2382,07/22/2025,pendente,pix,da Conceição,BA,"R$ 4.835,48"
8748,1662,02/18/2026,reembolsado,CARTAO_CREDITO,Cassiano de Câmara,BA,"R$ 11.101,30"
13668,1070,18-08-2024,enviado,Pix,Fonseca de Mendonça,MG,1304.45
2767,2508,08/03/2025 08:49,entregue ,cartao credito,Montenegro,SC,11250.41
14467,407,2026-01-30T20:41:11,canceled,cartao credito,Camargo Alegre,PE,"R$ 10.306,84"
3064,1609,2025-06-21,ENTREGUE,CARTAO_CREDITO,da Conceição da Mata,MG,"R$ 3.039,19"
3998,189,02-06-2026,enviado,Pix,Costa,PE,3035.73
1823,1004,21/11/2025 19:29,delivered,,Caldeira,SC,8824.02
11831,2906,,paid,cartao_credito,da Costa Alegre,PR,2366.72
3725,657,2025-04-09,ENTREGUE,,Campos das Flores,CE,4462.32
2699,2298,02/04/2026,pendente,paypal,Rezende,RJ,"7834,36"
10160,2196,09/06/2025,Entregue,pix,Vargas Grande,CE,"5950,33"
487,1047,2025-12-12T07:12:47,Entregue,pix,Ferreira de Abreu,CE,
840,1338,12/08/2025 13:31,ENTREGUE,boleto,Castro da Serra,SP,2793.63
6913,419,2026/01/25,pago,paypal,Melo Grande,MG,"R$ 5.295,46"
14408,1624,2026-02-09T02:13:39,pago,boleto,Garcia,RS,
4175,1837,2025-06-13,paid,CARTAO_CREDITO,Costa de Minas,MG,
11532,2916,25-01-2025,delivered,cartao credito,Costa do Campo,RS,"R$ 1.664,87"
4800,2011,22/04/2026 01:59,PENDENTE,paypal,Silveira,PE,6561.45
8185,612,,enviado,boleto,da Mata do Campo,RS,"R$ 7.361,77"
12497,2107,16/01/2025 09:15,pending,CARTAO_CREDITO,Borges,DF,11887.67
12338,645,31-01-2026,entregue ,CARTAO_CREDITO,Azevedo do Oeste,RJ,14832.24
14265,634,22/08/2024,enviado,paypal,Sampaio,GO,6952.93
6021,1636,2025/05/26,shipped,cartao credito,das Neves dos Dourados,SP,"R$ 6.051,30"
13021,299,19/02/2026 11:05,entregue ,paypal,Porto,DF,9155.44
7419,2164,2026-04-29,ENVIADO,Pix,Albuquerque,AM,7888.13
13630,1826,28/09/2024 04:30,delivered,,Cirino,DF,"5999,22"
14005,1534,06/28/2026,canceled,cartao credito,Lopes,RS,42548.19
6311,2058,2025-08-12T03:11:08,cancelled,pix,Campos,CE,21708.01
486,2173,02/17/2026,pendente,paypal,Almeida de Goiás,BA,1432.52
10763,902,11-06-2025,entregue ,cartao_credito,Machado dos Dourados,PE,7314.87
7256,893,,Entregue,Pix,Carvalho,DF,"R$ 189,61"
2928,1134,15/05/2025,delivered,CARTAO_CREDITO,Rios,RS,"R$ 4.094,57"
13932,1110,06/07/2026,ENVIADO,cartao credito,Cavalcante,DF,6448.34
6282,2330,05/12/2025,Enviado,CARTAO_CREDITO,da Luz,PR,"5347,1"
7223,1343,13/02/2026 01:55,Pendente,,Pereira,RS,"R$ 4.803,72"
5876,786,2025-07-22T00:55:25,entregue ,Pix,Sampaio,MG,4754.90
2136,1345,05/01/2026 20:37,paid,paypal,Rocha de Sousa,RS,"R$ 14.446,23"
5651,2042,06/09/2025,entregue,Pix,AragÃ£o,SC,34452.71
14944,2728,26-11-2024,Pendente,paypal,Macedo do Norte,MG,21673.46
202,1624,2025-03-03T23:35:51,ENTREGUE,boleto,Nogueira das Pedras,PE,3773.53
12810,658,06-03-2026,pendente,boleto,Castro,RS,"R$ 10.572,86"
5169,2488,2025/08/06,ENVIADO,pix,Carvalho das Flores,BA,"26492,39"
14573,2041,2024/08/02,ENTREGUE,cartao_credito,Rodrigues,SP,7654.7
8440,186,0000-00-00,delivered,Pix,LeÃ£o de Monteiro,RS,154.06
3476,1892,2026/03/14,Enviado,pix,Costa do Campo,SP,13306.9
11343,2779,0000-00-00,ENTREGUE,cartao_credito,Duarte de Cavalcante,RS,8281.2
11191,325,2025-12-24,Pendente,CARTAO_CREDITO,Pinto,AM,4873.96
5679,142,0000-00-00,cancelled,Pix,Aragão,SC,5203.86
1473,719,2024-12-24,shipped,cartao_credito,Souza,MG,
5634,1960,02/01/2026,delivered,cartao credito,Fogaça das Pedras,GO,3833.08
8296,1715,27/02/2025 09:42,Entregue,cartao credito,Costa da Praia,MG,
13243,2330,2024-10-09T04:58:46,cancelled,,Montenegro da Prata,AM,7694.13
3503,459,15-02-2025,delivered,cartao_credito,da Conceição de Fogaça,SC,"R$ 6.903,62"
7426,42,2024-12-17T17:38:23,refunded,,Andrade do Galho,BA,5274.8
889,2055,17/10/2024,paid,pix,Cirino de Mendonça,GO,6172.4
12293,518,2025-12-15T22:49:52,PENDENTE,cartao_credito,Souza,GO,4175.2
11373,2763,2025-10-23,pago,boleto,Campos,PR,4948.7
6929,1319,,refunded,cartao credito,da ConceiÃ§Ã£o da Serra,RS,
8760,598,04/10/2026,Enviado,cartao credito,Vasconcelos,SP,"R$ 5.011,13"
1978,946,12/06/2025,shipped,,Costa de Albuquerque,CE,"16224,11"
8324,1122,08/06/2025,ENTREGUE,pix,da Cunha,RJ,17339.71
5839,1071,2025/10/04,PAGO,,Rios,RJ,
14470,1435,07/03/2026,entregue ,pix,Rocha Verde,CE,247.12
1161,1957,19/08/2024,entregue ,Pix,Moreira,RS,7397.47
4831,1685,05/03/2026,ENTREGUE,cartao_credito,da Cruz,SC,10149.42
3264,2345,16-07-2025,entregue ,cartao_credito,Cassiano da Praia,CE,14362.63
9145,2309,07/07/2026,entregue ,paypal,Jesus do Amparo,CE,"R$ 21.155,54"
9659,32,02-02-2026,cancelled,cartao credito,Cavalcante,RJ,1633.75
9265,2295,27/10/2025,delivered,,Costela,CE,12006.81
13925,2687,2026-04-07,pending,,Silva,PE,4542.3
7212,731,2025/01/25,enviado,CARTAO_CREDITO,Novais,DF,"4583,55"
5794,684,2025-05-09,cancelado,CARTAO_CREDITO,Vargas da Mata,SP,10534.52
6349,917,2026/01/21,shipped,cartao_credito,Oliveira,DF,18234.81
5029,2408,2024-08-04,delivered,paypal,Barros,BA,16939.72
2990,188,25/07/2025 17:42,PENDENTE,,Oliveira,PR,"1917,91"
2084,1332,23-04-2025,entregue,cartao_credito,Siqueira do Sul,BA,
11976,922,0000-00-00,ENVIADO,CARTAO_CREDITO,Casa Grande,PE,4835.48
13499,1977,06/02/2026,ENTREGUE,CARTAO_CREDITO,Sampaio,SP,
13931,2027,2025-07-27T04:21:34,delivered,paypal,Brito Verde,SC,
9527,659,09/19/2024,cancelled,Pix,Melo,SC,5735.52
3092,2637,2025-01-07T07:23:16,Entregue,boleto,Guerra,MG,"R$ 4.408,66"
1983,1981,05/18/2025,paid,pix,da Rosa de Goiás,SC,3615.14
14431,1352,2025-09-21T07:14:43,entregue,paypal,Fonseca,SC,"R$ 7.140,92"
9553,2511,2025-03-05T21:16:31,ENVIADO,CARTAO_CREDITO,Marques do Sul,PE,8456.58
14365,2308,04/09/2025 12:43,entregue ,CARTAO_CREDITO,Santos,AM,1804.67
14159,1394,01/04/2026,ENVIADO,cartao credito,Borges das Pedras,RS,"R$ 17.280,21"
5551,1007,08-12-2024,Pago,cartao credito,Pires de Ramos,BA,27382.08
12841,522,22-10-2025,Enviado,CARTAO_CREDITO,Pacheco de Novais,MG,"3077,97"
11853,1516,2025-10-30,Pago,cartao credito,Porto de da Cunha,RJ,8646.36
298,2766,2025-06-18,shipped,,Camargo de Abreu,SP,25130.18
2530,210,12-05-2026,entregue ,,da Rosa,GO,"6204,17"
11166,242,2025-12-19,Pendente,CARTAO_CREDITO,Oliveira,PE,
14916,514,11/12/2025,pago,cartao_credito,Carvalho,BA,8283.14
9172,2342,01/01/2026,delivered,cartao_credito,Monteiro do Oeste,RJ,"R$ 7.629,24"
4466,313,2024-09-19T11:05:19,Pendente,CARTAO_CREDITO,Silva,AM,19199.64
74,2759,19-12-2024,entregue ,paypal,Nogueira,SP,14263.24
8080,2613,2026-03-15T22:26:06,pending,pix,Rocha da Mata,BA,30217.80
9318,1361,2024-10-17,cancelled,paypal,Campos de Araújo,PE,3644.48
4254,1018,11/21/2025,entregue,paypal,Costa do Amparo,PE,1527.04
7320,2214,07/08/2024 19:29,delivered,cartao credito,Sá de Moraes,DF,2628.82
12733,1649,27/08/2025 14:44,pago,boleto,Marques,BA,7965.84
9932,1113,2026-06-10T20:50:14,entregue,cartao credito,Araújo do Amparo,RS,5992.48
4840,2089,15/03/2026 01:05,Entregue,CARTAO_CREDITO,Araújo do Oeste,CE,"R$ 3.284,00"
7526,2557,2025-09-17T16:01:41,canceled,CARTAO_CREDITO,Barros,BA,"R$ 8.463,41"
9486,2363,27-09-2024,delivered,,Pacheco de Pacheco,AM,7193.44
14433,1595,2026/07/09,entregue ,boleto,Silveira do Amparo,CE,37277.72
7315,2354,17-04-2026,Pago,cartao_credito,da Mata,BA,"R$ 24.175,96"
1810,2057,26-01-2025,Entregue,paypal,Novaes,RJ,
5978,2218,0000-00-00,Entregue,cartao credito,Oliveira,DF,9623.49
12752,2835,2024/08/27,paid,pix,Gonçalves de Goiás,CE,8728.16
147,531,2025-06-05T04:18:05,PAGO,CARTAO_CREDITO,Mendonça do Campo,PE,3838.49
11400,682,,delivered,CARTAO_CREDITO,Fogaça,DF,19850.25
8066,2010,2025-01-21T01:38:03,delivered,CARTAO_CREDITO,Cavalcante de Rodrigues,BA,14171.72
5482,2620,,entregue,,Marques,DF,15045.07
12302,2426,20/12/2025 05:25,entregue,paypal,Sales de Barbosa,PR,12836.45
10599,1415,28/05/2025 04:48,ENVIADO,boleto,Castro,MG,22228.89
7408,1610,2025-06-30T17:25:38,Entregue,cartao credito,Pacheco de Borges,BA,17698.78
4656,2262,13/05/2026 05:35,ENTREGUE,Pix,Alves,CE,"R$ 889,37"
5052,1797,2026/03/13,delivered,CARTAO_CREDITO,da Cunha,SP,25496.4
1177,2129,2026/06/03,ENTREGUE,boleto,Jesus,SC,"3776,51"
11962,869,08/08/2024,entregue ,cartao credito,Cardoso de Viana,RS,17248.89
12538,178,2024-08-19,ENTREGUE,,Lopes,DF,15019.72
14064,2730,06/04/2026,Entregue,cartao credito,Mendes,PR,845.86
4023,259,2026-02-06T04:02:11,canceled,boleto,Machado de LeÃ£o,AM,4010.16
9346,1923,04/07/2026,entregue,CARTAO_CREDITO,Ramos do Galho,BA,1976.36
13940,2378,21-02-2025,ENTREGUE,,Pinto,SC,8173.06
151,2425,29/06/2025,entregue ,pix,Ramos,RJ,10052.74
9387,2716,2025-10-26T22:15:17,entregue,Pix,Marques,AM,
14991,2279,2024/09/17,cancelado,,Sampaio,PR,5505.81
7304,2780,12/10/2025,canceled,CARTAO_CREDITO,Pereira,GO,
13004,1288,16/03/2025 05:19,canceled,pix,Câmara,SP,4509.42
11896,1426,31-12-2024,PENDENTE,,Aragão,AM,"12851,67"
14349,1498,20/08/2024,delivered,paypal,Carvalho,BA,7898.28
2103,1572,2025-03-18,entregue,cartao credito,Macedo do Oeste,SC,16145.66
10760,2854,06/10/2025,entregue,boleto,Alves da Mata,RJ,"R$ 5.343,48"
13737,2111,2025/08/22,ENTREGUE,Pix,Pimenta,DF,"R$ 20.132,05"
5873,1615,04/24/2025,REEMBOLSADO,,Vasconcelos,SC,2643.52
13103,2469,27-03-2026,entregue ,cartao_credito,Abreu,GO,
9867,2901,09/14/2024,pago,CARTAO_CREDITO,Souza do Amparo,PE,
7553,1835,03-08-2025,Pendente,cartao credito,Dias,GO,13117.92
8602,996,01/30/2025,Entregue,Pix,Casa Grande,MG,
7137,1017,2026/04/28,entregue,boleto,Lima da Praia,RS,6999.03
2142,922,05/13/2026,entregue,cartao_credito,das Neves de Minas,GO,5151.86
3817,2824,06/01/2026,paid,boleto,Lima,PR,11244.09
11239,430,03/23/2026,Pendente,paypal,Barros,SP,146.88
8530,982,04/04/2025 20:38,CANCELADO,Pix,Santos das Pedras,PE,"R$ 8.697,38"
871,1698,02-12-2025,entregue,,Mendes,CE,5692.95
8745,1924,09/10/2024,ENTREGUE,cartao credito,Siqueira,SC,"R$ 14.162,41"
14598,286,2026-05-26T05:03:28,pending,cartao credito,Ferreira de Minas,CE,"4008,63"
12418,438,2026-05-31T22:31:10,paid,,Lopes de Moraes,PR,2691.16
13632,996,2025-11-17,ENTREGUE,,Andrade,RJ,9206.88
3409,1002,0000-00-00,Pendente,CARTAO_CREDITO,Freitas,SC,8498.8
4003,2503,04-06-2026,paid,,Souza Verde,RS,8612.93
11633,1756,28-07-2024,pending,pix,Abreu,SP,"1111,45"
3823,2451,11/20/2025,delivered,boleto,Sampaio,AM,"R$ 10.241,91"
113,417,0000-00-00,ENTREGUE,,Câmara de Goiás,PR,"1695,3"
14387,1519,01-07-2026,entregue,cartao_credito,Correia de Lima,MG,"R$ 993,99"
4750,1564,13-04-2026,Pendente,boleto,Campos de Costela,MG,15297.01
3015,1983,2026-04-28T14:09:00,pending,CARTAO_CREDITO,Fogaça do Galho,SP,"R$ 11.933,19"
6370,2923,2025/01/27,Pago,pix,Freitas das Flores,MG,"R$ 11.898,18"
3717,2509,2025/05/01,PENDENTE,CARTAO_CREDITO,Leão,SC,3227.93
8519,2332,26-07-2024,entregue ,,Viana da Prata,BA,"R$ 37.636,59"
5214,883,24-10-2024,pendente,cartao credito,Machado,PR,"7423,62"
603,2515,2026-01-23,refunded,CARTAO_CREDITO,Andrade do Norte,RJ,"R$ 8.778,17"
4174,2867,2026-03-14,PAGO,,Nascimento,GO,"R$ 5.658,23"
1576,2361,2024-10-14T00:52:21,PENDENTE,cartao credito,das Neves,CE,22110.3
